time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2),,
0,10.0748,-1.43652,-0.0574608,,
0.0100018,10.0748,-1.43652,-0.0957681,,
0.0200036,10.0556,-1.45567,-0.0766145,,
0.0300055,10.0556,-1.47483,-0.0766145,,
0.0400073,10.0556,-1.47483,-0.0766145,,
0.0500091,10.0556,-1.47483,-0.0957681,,
0.0600109,10.0556,-1.43652,-0.0957681,,
0.0700127,10.0365,-1.41737,-0.134075,,
0.0800146,10.0556,-1.47483,-0.114922,,
0.0900164,10.0748,-1.47483,-0.114922,,
0.100018,10.0748,-1.47483,-0.0957681,,
0.11002,10.0556,-1.45567,-0.114922,,
0.120022,10.0365,-1.45567,-0.114922,,
0.130024,10.0556,-1.47483,-0.114922,,
0.140025,10.0556,-1.45567,-0.114922,,
0.150027,10.0556,-1.43652,-0.114922,,
0.160029,10.0556,-1.41737,-0.114922,,
0.170031,10.0748,-1.47483,-0.153229,,
0.180033,10.0748,-1.45567,-0.114922,,
0.190035,10.0748,-1.45567,-0.114922,,
0.200036,10.094,-1.45567,-0.0957681,,
0.210038,10.0556,-1.45567,-0.134075,,
0.22004,10.0748,-1.45567,-0.134075,,
0.230042,10.0556,-1.47483,-0.153229,,
0.240044,10.0748,-1.43652,-0.114922,,
0.250045,10.0748,-1.45567,-0.134075,,
0.260047,10.0556,-1.43652,-0.114922,,
0.270049,10.0365,-1.45567,-0.114922,,
0.280051,10.0556,-1.45567,-0.0957681,,
0.290053,10.0748,-1.45567,-0.0957681,,
0.300055,10.0556,-1.49398,-0.0766145,,
0.310056,10.0556,-1.45567,-0.0957681,,
0.320058,10.0556,-1.47483,-0.0957681,,
0.33006,10.0748,-1.43652,-0.0957681,,
0.340062,10.0556,-1.45567,-0.0957681,,
0.350064,10.0556,-1.45567,-0.0766145,,
0.360065,10.0556,-1.45567,-0.0766145,,
0.370067,10.0556,-1.47483,-0.0766145,,
0.380069,10.0748,-1.47483,-0.0574608,,
0.390071,10.0365,-1.43652,-0.0766145,,
0.400073,10.0365,-1.45567,-0.0574608,,
0.410075,10.0748,-1.45567,-0.0574608,,
0.420076,10.0556,-1.47483,-0.0574608,,
0.430078,10.0556,-1.47483,-0.0383072,,
0.44008,10.0748,-1.47483,-0.0383072,,
0.450082,10.0556,-1.47483,-0.0383072,,
0.460084,10.0556,-1.45567,-0.0574608,,
0.470085,10.0748,-1.45567,-0.0383072,,
0.480087,10.0748,-1.47483,-0.0574608,,
0.490089,10.0748,-1.47483,-0.0383072,,
0.500091,10.0556,-1.47483,-0.0383072,,
0.510093,10.0748,-1.45567,-0.0191536,,
0.520095,10.0748,-1.47483,-0.0574608,,
0.530096,10.094,-1.47483,-0.0383072,,
0.540098,10.0748,-1.49398,-0.0191536,,
0.5501,10.0556,-1.47483,-0.0574608,,
0.560102,10.0748,-1.47483,-0.0191536,,
0.570104,10.0556,-1.47483,-0.0191536,,
0.580106,10.094,-1.49398,-0.0383072,,
