"Time (s)","Bridge Pos (m)","Trolley 1 Pos (m)","Trolley 1 Cable Length (m)","Trolley 1 - Trolley direction deflection (m)","Trolley 1 - Bridge direction deflection (m)","Trolley 2 Pos (m)","Trolley 2 Cable Length (m)","Trolley 2 - Trolley direction deflection (m)","Trolley 2 - Bridge direction deflection (m)","Rigid Z Position (m)","Rigid Z Length (m)"
0,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
0.04,6.225,3.029,1.08,0.06,0,5.371,1.11,-0.04,0.02,0,0
0.08,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
0.12,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
0.16,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
0.2,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
0.24,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
0.28,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
0.32,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
0.36,6.225,3.029,1.1,0.06,0,5.371,1.1,-0.04,0.02,0,0
0.4,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
0.44,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
0.48,6.225,3.029,1.1,0.06,0,5.371,1.1,-0.04,0.02,0,0
0.52,6.225,3.029,1.1,0.06,0,5.371,1.1,-0.04,0.02,0,0
0.56,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
0.6,6.225,3.029,1.1,0.06,0,5.371,1.1,-0.04,0.02,0,0
0.64,6.225,3.029,1.1,0.06,0,5.371,1.1,-0.04,0.02,0,0
0.68,6.225,3.029,1.1,0.06,0,5.371,1.1,-0.04,0.02,0,0
0.72,6.225,3.029,1.1,0.06,0,5.371,1.1,-0.04,0.02,0,0
0.76,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
0.8,6.225,3.029,1.1,0.06,0,5.371,1.1,-0.04,0.02,0,0
0.84,6.225,3.029,1.1,0.06,0,5.371,1.1,-0.04,0.02,0,0
0.88,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
0.92,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
0.96,6.225,3.029,1.1,0.06,0,5.371,1.1,-0.04,0.02,0,0
1,6.225,3.029,1.1,0.06,0,5.371,1.1,-0.04,0.02,0,0
1.04,6.225,3.029,1.1,0.06,0,5.371,1.1,-0.04,0.02,0,0
1.08,6.225,3.029,1.08,0.06,0,5.371,1.11,-0.04,0.02,0,0
1.12,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
1.16,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
1.2,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
1.24,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
1.28,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
1.32,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
1.36,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
1.4,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
1.44,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
1.48,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
1.52,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
1.56,6.225,3.029,1.08,0.06,0,5.371,1.11,-0.04,0.02,0,0
1.6,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
1.64,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
1.68,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
1.72,6.225,3.029,1.08,0.06,0,5.371,1.11,-0.04,0.02,0,0
1.76,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
1.8,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
1.84,6.225,3.029,1.08,0.06,0,5.37,1.11,-0.04,0.02,0,0
1.88,6.225,3.029,1.1,0.06,0,5.37,1.11,-0.04,0.02,0,0
1.92,6.225,3.029,1.1,0.06,0,5.37,1.11,-0.04,0.02,0,0
1.96,6.225,3.029,1.08,0.06,0,5.37,1.11,-0.04,0.02,0,0
2,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
2.04,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
2.08,6.225,3.029,1.11,0.06,0,5.371,1.11,-0.04,0.02,0,0
2.12,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
2.16,6.225,3.029,1.08,0.06,0,5.371,1.11,-0.04,0.02,0,0
2.2,6.225,3.029,1.08,0.06,0,5.371,1.11,-0.04,0.02,0,0
2.24,6.225,3.029,1.08,0.06,0,5.371,1.11,-0.04,0.02,0,0
2.28,6.225,3.029,1.08,0.06,0,5.371,1.11,-0.04,0.02,0,0
2.32,6.225,3.029,1.1,0.06,0,5.37,1.11,-0.04,0.02,0,0
2.36,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
2.4,6.225,3.029,1.1,0.06,0,5.37,1.11,-0.04,0.02,0,0
2.44,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
2.48,6.225,3.029,1.1,0.06,0,5.371,1.1,-0.04,0.02,0,0
2.52,6.225,3.029,1.08,0.06,0,5.371,1.11,-0.04,0.02,0,0
2.56,6.225,3.029,1.1,0.06,0,5.371,1.1,-0.04,0.02,0,0
2.6,6.225,3.029,1.08,0.06,0,5.371,1.11,-0.04,0.02,0,0
2.64,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
2.68,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
2.72,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
2.76,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
2.8,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
2.84,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
2.88,6.225,3.029,1.08,0.06,0,5.371,1.11,-0.04,0.02,0,0
2.92,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
2.96,6.225,3.029,1.08,0.06,0,5.371,1.11,-0.04,0.02,0,0
3,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
3.04,6.225,3.029,1.08,0.06,0,5.371,1.11,-0.04,0.02,0,0
3.08,6.225,3.029,1.08,0.06,0,5.371,1.1,-0.04,0.02,0,0
3.12,6.225,3.029,1.08,0.06,0,5.371,1.1,-0.04,0.02,0,0
3.16,6.225,3.029,1.1,0.06,0,5.371,1.11,-0.04,0.02,0,0
3.2,6.225,3.029,1.08,0.06,0,5.371,1.1,-0.04,0.02,0,0
3.24,6.225,3.029,1.1,0.06,0,5.371,1.1,-0.04,0.02,0,0
3.28,6.224,3.028,1.1,0.06,0,5.37,1.11,-0.04,0.02,0,0
3.32,6.224,3.024,1.1,0.06,0,5.368,1.11,-0.04,0.02,0,0
3.36,6.225,3.019,1.1,0.06,0,5.36,1.11,-0.04,0.02,0,0
3.4,6.224,3.015,1.1,0.06,0,5.354,1.11,-0.04,0.02,0,0
3.44,6.224,2.999,1.1,0.07,0,5.349,1.11,-0.04,0.02,0,0
3.48,6.224,2.993,1.1,0.08,0,5.335,1.11,-0.03,0.02,0,0
3.52,6.224,2.985,1.1,0.08,0,5.328,1.11,-0.02,0.02,0,0
3.56,6.224,2.976,1.1,0.09,0,5.319,1.11,-0.01,0.02,0,0
3.6,6.224,2.958,1.55,0.06,-0.01,5.31,1.11,-0.01,0.02,0,0
3.64,6.224,2.947,1.52,0.07,-0.01,5.301,1.11,0,0.02,0,0
3.68,6.225,2.936,1.52,0.07,-0.01,5.281,1.11,0.01,0.03,0,0
3.72,6.225,2.926,1.49,0.08,-0.01,5.271,1.11,0.02,0.03,0,0
3.76,6.224,2.902,1.46,0.1,0,5.259,2.9,-0.05,-0.01,0,0
3.8,6.224,2.893,1.46,0.1,0,5.238,2.9,-0.03,-0.01,0,0
3.84,6.224,2.882,1.46,0.11,0,5.228,2.9,-0.01,-0.01,0,0
3.88,6.224,2.871,1.46,0.11,0,5.217,2.9,-0.01,-0.01,0,0
3.92,6.224,2.851,1.46,0.12,0,5.208,2.9,0,0,0,0
3.96,6.224,2.843,1.46,0.12,0,5.186,2.84,0.01,0,0,0
4,6.225,2.831,1.46,0.12,0,5.176,2.84,0.01,0,0,0
