time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2),,
0,10.0748,-1.05345,-0.0574608,,
0.0100066,10.094,-1.0726,0.0191536,,
0.0200132,10.1131,-1.0726,-0.0383072,,
0.0300199,10.094,-1.0726,-0.0574608,,
0.0400265,10.094,-1.0726,-0.0383072,,
0.0500331,10.0748,-1.0726,-0.0383072,,
0.0600397,10.0748,-1.0726,-0.0383072,,
0.0700463,10.1131,-1.09176,-0.0383072,,
0.0800529,10.1131,-1.0726,-0.0191536,,
0.0900596,10.1131,-1.0726,-0.0191536,,
0.100066,10.1131,-1.05345,-0.0574608,,
0.110073,10.1131,-1.0726,-0.0957681,,
0.120079,10.094,-1.05345,-0.0957681,,
0.130086,10.094,-1.05345,-0.0766145,,
0.140093,10.1323,-1.0726,-0.0957681,,
0.150099,10.094,-1.05345,-0.0574608,,
0.160106,10.094,-1.0726,-0.114922,,
0.170112,10.1131,-1.09176,-0.114922,,
0.180119,10.094,-1.09176,-0.114922,,
0.190126,10.094,-1.0726,-0.114922,,
0.200132,10.1131,-1.0726,-0.114922,,
0.210139,10.094,-1.09176,-0.114922,,
0.220146,10.094,-1.0726,-0.134075,,
0.230152,10.0748,-1.0726,-0.134075,,
0.240159,10.094,-1.0726,-0.134075,,
0.250165,10.094,-1.05345,-0.134075,,
0.260172,10.094,-1.09176,-0.134075,,
0.270179,10.0748,-1.09176,-0.153229,,
0.280185,10.094,-1.0726,-0.172383,,
0.290192,10.0748,-1.05345,-0.172383,,
0.300199,10.0748,-1.05345,-0.134075,,
0.310205,10.0556,-1.05345,-0.134075,,
0.320212,10.094,-1.05345,-0.172383,,
0.330218,10.094,-1.09176,-0.153229,,
0.340225,10.094,-1.09176,-0.172383,,
0.350232,10.094,-1.0726,-0.134075,,
0.360238,10.094,-1.09176,-0.172383,,
0.370245,10.0748,-1.09176,-0.172383,,
0.380251,10.094,-1.09176,-0.172383,,
0.390258,10.094,-1.0726,-0.134075,,
0.400265,10.0748,-1.09176,-0.191536,,
0.410271,10.1131,-1.09176,-0.191536,,
0.420278,10.094,-1.05345,-0.172383,,
0.430285,10.094,-1.11091,-0.172383,,
0.440291,10.094,-1.0726,-0.153229,,
0.450298,10.094,-1.05345,-0.134075,,
0.460304,10.1131,-1.09176,-0.153229,,
0.470311,10.094,-1.09176,-0.134075,,
0.480318,10.1131,-1.09176,-0.0957681,,
0.490324,10.094,-1.09176,-0.134075,,
0.500331,10.094,-1.09176,-0.114922,,
0.510337,10.094,-1.09176,-0.114922,,
0.520344,10.094,-1.09176,-0.114922,,
0.530351,10.1131,-1.09176,-0.0957681,,
0.540357,10.094,-1.09176,-0.0957681,,
0.550364,10.094,-1.0726,-0.114922,,
0.560371,10.1131,-1.09176,-0.0766145,,
0.570377,10.094,-1.0726,-0.0957681,,
0.580384,10.094,-1.09176,-0.0574608,,
0.59039,10.094,-1.0726,-0.0766145,,
0.600397,10.0748,-1.09176,-0.0957681,,
0.610404,10.0748,-1.11091,-0.0574608,,
0.62041,10.094,-1.09176,-0.0574608,,
0.630417,10.0748,-1.11091,-0.0574608,,
0.640424,10.094,-1.11091,-0.0766145,,
0.65043,10.0748,-1.09176,-0.0574608,,
0.660437,10.094,-1.0726,-0.0191536,,
0.670443,10.094,-1.0726,-0.0383072,,
0.68045,10.094,-1.09176,-0.0383072,,
0.690457,10.0748,-1.0726,-0.0191536,,
0.700463,10.094,-1.09176,-0.0191536,,
0.71047,10.094,-1.11091,-0.0191536,,
0.720476,10.094,-1.13006,0,,
0.730483,10.0748,-1.09176,-0.0383072,,
0.74049,10.094,-1.09176,0,,
0.750496,10.0748,-1.09176,-0.0191536,,
0.760503,10.094,-1.0726,0.0191536,,
0.77051,10.0748,-1.11091,0,,
0.780516,10.094,-1.09176,-0.0191536,,
0.790523,10.094,-1.09176,-0.0191536,,
0.800529,10.094,-1.09176,-0.0383072,,
0.810536,10.1131,-1.13006,-0.0383072,,
0.820543,10.0748,-1.09176,0,,
0.830549,10.0748,-1.09176,0,,
0.840556,10.0748,-1.11091,-0.0574608,,
0.850562,10.094,-1.09176,-0.0574608,,
0.860569,10.0748,-1.09176,-0.0383072,,
0.870576,10.094,-1.11091,-0.0383072,,
0.880582,10.094,-1.13006,-0.0574608,,
0.890589,10.094,-1.09176,-0.0574608,,
0.900596,10.094,-1.11091,-0.0383072,,
0.910602,10.094,-1.09176,-0.0574608,,
0.920609,10.094,-1.13006,-0.0574608,,
0.930615,10.094,-1.11091,-0.0957681,,
0.940622,10.094,-1.09176,-0.114922,,
0.950629,10.094,-1.13006,-0.114922,,
0.960635,10.0556,-1.09176,-0.153229,,
0.970642,10.0748,-1.09176,-0.134075,,
0.980649,10.094,-1.13006,-0.191536,,
0.990655,10.0748,-1.09176,-0.21069,,
1.00066,10.0556,-1.11091,-0.21069,,
1.01067,10.0748,-1.09176,-0.248997,,
1.02067,10.0365,-1.0726,-0.229843,,
1.03068,10.0748,-1.0726,-0.248997,,
1.04069,10.0556,-1.09176,-0.248997,,
1.05069,10.0365,-1.09176,-0.191536,,
1.0607,10.0365,-1.09176,-0.153229,,
1.07071,10.0365,-1.09176,-0.114922,,
1.08071,10.0173,-1.11091,-0.0574608,,
1.09072,10.0173,-1.11091,-0.0191536,,
1.10073,9.99819,-1.11091,0.0191536,,
1.11073,9.97903,-1.11091,0.0957681,,
1.12074,9.97903,-1.11091,0.114922,,
1.13075,9.97903,-1.13006,0.153229,,
1.14075,9.97903,-1.09176,0.134075,,
1.15076,9.99819,-1.0726,0.134075,,
1.16077,10.0173,-1.0726,0.172383,,
1.17077,9.99819,-1.09176,0.114922,,
1.18078,10.0365,-1.09176,0.114922,,
1.19079,10.0365,-1.11091,0.0957681,,
1.20079,10.0365,-1.11091,0.0383072,,
1.2108,10.0365,-1.05345,-0.0574608,,
1.22081,10.0556,-1.0726,-0.0383072,,
1.23081,10.0748,-1.0726,-0.0191536,,
1.24082,10.0748,-1.0343,0.0383072,,
1.25083,10.0365,-1.01514,0.0766145,,
1.26083,10.0556,-0.995988,0.114922,,
1.27084,10.0365,-1.01514,0.114922,,
1.28085,10.0173,-1.05345,0.191536,,
1.29085,10.0173,-1.0726,0.153229,,
1.30086,10.0173,-1.13006,0.172383,,
1.31087,10.0173,-1.14922,0.134075,,
1.32087,10.0173,-1.16837,0.0574608,,
1.33088,10.0748,-1.14922,0,,
1.34089,10.1323,-1.09176,-0.172383,,
1.35089,10.1897,-1.05345,-0.21069,,
1.3609,10.2089,-1.05345,-0.21069,,
1.37091,10.2472,-1.0343,-0.21069,,
1.38091,10.2855,-1.0343,-0.268151,,
1.39092,10.3046,-1.01514,-0.248997,,
