time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2),,
0,10.094,-1.39821,-0.0191536,,
0.0100219,10.094,-1.37906,-0.0191536,,
0.0200439,10.094,-1.39821,-0.0383072,,
0.0300658,10.0748,-1.39821,0,,
0.0400877,10.094,-1.39821,-0.0191536,,
0.0501096,10.094,-1.37906,0,,
0.0601316,10.0748,-1.39821,0,,
0.0701535,10.094,-1.39821,-0.0383072,,
0.0801754,10.094,-1.37906,0,,
0.0901974,10.0556,-1.37906,0,,
0.100219,10.094,-1.35991,0,,
0.110241,10.094,-1.37906,0,,
0.120263,10.0748,-1.37906,0,,
0.130285,10.0748,-1.37906,0,,
0.140307,10.0748,-1.37906,0,,
0.150329,10.0556,-1.37906,-0.0191536,,
0.160351,10.0748,-1.39821,0,,
0.170373,10.0748,-1.37906,-0.0191536,,
0.180395,10.0748,-1.39821,0.0191536,,
0.190417,10.0748,-1.37906,0.0191536,,
0.200439,10.094,-1.37906,-0.0191536,,
0.210461,10.094,-1.37906,-0.0191536,,
0.220482,10.094,-1.37906,0,,
0.230504,10.094,-1.35991,0.0191536,,
0.240526,10.094,-1.35991,0.0191536,,
0.250548,10.0748,-1.35991,0,,
0.26057,10.094,-1.37906,0.0191536,,
0.270592,10.094,-1.39821,0.0191536,,
0.280614,10.0748,-1.37906,0,,
0.290636,10.0556,-1.39821,0.0191536,,
0.300658,10.094,-1.37906,0.0191536,,
0.31068,10.094,-1.37906,0.0383072,,
0.320702,10.0748,-1.37906,0,,
0.330724,10.0748,-1.39821,0.0191536,,
0.340746,10.0748,-1.39821,0.0191536,,
0.350768,10.094,-1.37906,0,,
0.360789,10.094,-1.37906,0.0383072,,
0.370811,10.094,-1.37906,0,,
0.380833,10.0748,-1.37906,0.0191536,,
0.390855,10.094,-1.35991,0.0383072,,
0.400877,10.094,-1.37906,0.0191536,,
0.410899,10.094,-1.37906,-0.0191536,,
0.420921,10.0748,-1.39821,0,,
0.430943,10.094,-1.39821,0.0191536,,
0.440965,10.0748,-1.39821,0.0191536,,
0.450987,10.0556,-1.37906,0,,
0.461009,10.0748,-1.37906,-0.0191536,,
0.471031,10.094,-1.37906,0,,
0.481053,10.0556,-1.39821,0,,
0.491075,10.0748,-1.37906,-0.0191536,,
0.501096,10.0748,-1.37906,0,,
0.511118,10.0748,-1.37906,0,,
0.52114,10.0748,-1.39821,0,,
0.531162,10.0748,-1.39821,-0.0191536,,
0.541184,10.0748,-1.39821,-0.0191536,,
0.551206,10.0556,-1.37906,-0.0191536,,
0.561228,10.0748,-1.39821,-0.0191536,,
0.57125,10.0556,-1.39821,-0.0191536,,
0.581272,10.0748,-1.39821,-0.0191536,,
0.591294,10.0748,-1.39821,-0.0383072,,
0.601316,10.094,-1.37906,-0.0383072,,
0.611338,10.0748,-1.41737,-0.0191536,,
0.62136,10.0748,-1.39821,-0.0191536,,
0.631382,10.094,-1.37906,-0.0191536,,
0.641404,10.0748,-1.35991,-0.0191536,,
0.651425,10.0748,-1.39821,0,,
0.661447,10.094,-1.37906,-0.0191536,,
0.671469,10.0748,-1.37906,-0.0383072,,
0.681491,10.0748,-1.37906,-0.0191536,,
0.691513,10.1131,-1.35991,-0.0383072,,
0.701535,10.1131,-1.39821,-0.0383072,,
0.711557,10.0748,-1.39821,-0.0191536,,
0.721579,10.0556,-1.35991,-0.0383072,,
0.731601,10.094,-1.39821,-0.0383072,,
0.741623,10.094,-1.37906,-0.0383072,,
0.751645,10.0748,-1.39821,0.0191536,,
0.761667,10.0748,-1.39821,-0.0383072,,
0.771689,10.0748,-1.39821,0,,
0.781711,10.0748,-1.39821,-0.0191536,,
0.791732,10.0748,-1.37906,-0.0191536,,
0.801754,10.0556,-1.37906,0,,
0.811776,10.0748,-1.37906,-0.0191536,,
0.821798,10.0748,-1.37906,-0.0191536,,
0.83182,10.094,-1.39821,0,,
0.841842,10.094,-1.39821,0,,
0.851864,10.0748,-1.39821,0,,
0.861886,10.0748,-1.35991,-0.0383072,,
0.871908,10.0556,-1.37906,-0.0191536,,
0.88193,10.094,-1.35991,0,,
0.891952,10.094,-1.39821,0.0191536,,
0.901974,10.0748,-1.37906,0.0383072,,
0.911996,10.0748,-1.39821,0.0191536,,
0.922018,10.0748,-1.37906,0.0191536,,
0.932039,10.094,-1.35991,0.0191536,,
0.942061,10.0748,-1.35991,0,,
0.952083,10.0556,-1.37906,0.0191536,,
0.962105,10.0556,-1.34075,0,,
0.972127,10.0748,-1.37906,0.0191536,,
0.982149,10.094,-1.37906,0.0191536,,
0.992171,10.0556,-1.39821,0.0191536,,
1.00219,10.0748,-1.39821,0,,
1.01221,10.0556,-1.37906,0.0383072,,
1.02224,10.0748,-1.39821,0.0191536,,
1.03226,10.0748,-1.37906,0,,
1.04228,10.0748,-1.35991,0.0191536,,
1.0523,10.094,-1.37906,0.0383072,,
1.06232,10.0556,-1.39821,0.0191536,,
1.07235,10.0556,-1.37906,-0.0191536,,
1.08237,10.0748,-1.35991,0.0383072,,
1.09239,10.0748,-1.37906,0.0191536,,
1.10241,10.0748,-1.37906,0,,
1.11243,10.0748,-1.35991,0.0191536,,
1.12246,10.0748,-1.37906,0.0191536,,
1.13248,10.094,-1.37906,0,,
1.1425,10.0556,-1.37906,0.0383072,,
1.15252,10.094,-1.35991,0,,
1.16254,10.0748,-1.39821,-0.0191536,,
1.17257,10.0748,-1.37906,0,,
1.18259,10.0748,-1.37906,0,,
1.19261,10.094,-1.37906,-0.0191536,,
1.20263,10.0748,-1.37906,0,,
