time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2),,
0,10.094,-1.14922,-0.0383072,,
0.0100206,10.094,-1.14922,-0.0383072,,
0.0200413,10.094,-1.14922,-0.0191536,,
0.0300619,10.1323,-1.16837,-0.0383072,,
0.0400826,10.0748,-1.13006,-0.0383072,,
0.0501032,10.1131,-1.13006,-0.0383072,,
0.0601239,10.1131,-1.13006,-0.0574608,,
0.0701445,10.1131,-1.14922,-0.0766145,,
0.0801652,10.1131,-1.13006,-0.0383072,,
0.0901858,10.1131,-1.13006,-0.0574608,,
0.100206,10.094,-1.14922,-0.0383072,,
0.110227,10.1131,-1.13006,-0.0383072,,
0.120248,10.094,-1.13006,-0.0383072,,
0.130268,10.094,-1.13006,-0.0574608,,
0.140289,10.1131,-1.14922,-0.0383072,,
0.15031,10.1323,-1.13006,-0.0766145,,
0.16033,10.094,-1.16837,-0.0574608,,
0.170351,10.1131,-1.16837,-0.0766145,,
0.180372,10.1131,-1.16837,-0.0766145,,
0.190392,10.1131,-1.13006,-0.0574608,,
0.200413,10.1131,-1.14922,-0.0766145,,
0.210434,10.094,-1.13006,-0.114922,,
0.220454,10.094,-1.11091,-0.114922,,
0.230475,10.094,-1.11091,-0.0766145,,
0.240496,10.1131,-1.13006,-0.114922,,
0.250516,10.1131,-1.13006,-0.134075,,
0.260537,10.094,-1.14922,-0.134075,,
0.270557,10.094,-1.14922,-0.134075,,
0.280578,10.0748,-1.14922,-0.134075,,
0.290599,10.094,-1.14922,-0.114922,,
0.300619,10.0748,-1.14922,-0.114922,,
0.31064,10.1131,-1.14922,-0.134075,,
0.320661,10.094,-1.16837,-0.134075,,
0.330681,10.1131,-1.14922,-0.153229,,
0.340702,10.1131,-1.16837,-0.153229,,
0.350723,10.094,-1.13006,-0.153229,,
0.360743,10.094,-1.14922,-0.134075,,
0.370764,10.1131,-1.13006,-0.172383,,
0.380785,10.1131,-1.13006,-0.134075,,
0.390805,10.094,-1.13006,-0.172383,,
0.400826,10.1131,-1.18752,-0.172383,,
0.410846,10.094,-1.14922,-0.191536,,
0.420867,10.094,-1.16837,-0.172383,,
0.430888,10.1131,-1.14922,-0.172383,,
0.440908,10.1323,-1.14922,-0.153229,,
0.450929,10.094,-1.14922,-0.153229,,
0.46095,10.094,-1.16837,-0.172383,,
0.47097,10.1131,-1.14922,-0.153229,,
0.480991,10.0748,-1.13006,-0.153229,,
0.491012,10.0748,-1.13006,-0.172383,,
0.501032,10.094,-1.14922,-0.172383,,
0.511053,10.094,-1.14922,-0.172383,,
0.521074,10.094,-1.13006,-0.153229,,
0.531094,10.0748,-1.13006,-0.153229,,
0.541115,10.0556,-1.13006,-0.153229,,
0.551136,10.0748,-1.16837,-0.153229,,
0.561156,10.0748,-1.14922,-0.134075,,
0.571177,10.094,-1.14922,-0.134075,,
0.581197,10.0556,-1.16837,-0.172383,,
0.591218,10.0748,-1.14922,-0.134075,,
0.601239,10.0748,-1.14922,-0.114922,,
0.611259,10.094,-1.14922,-0.134075,,
0.62128,10.094,-1.13006,-0.114922,,
0.631301,10.1131,-1.13006,-0.114922,,
0.641321,10.1323,-1.16837,-0.134075,,
0.651342,10.094,-1.14922,-0.0766145,,
0.661363,10.1131,-1.14922,-0.0957681,,
0.671383,10.1131,-1.16837,-0.0766145,,
0.681404,10.1131,-1.14922,-0.0766145,,
0.691425,10.1131,-1.13006,-0.0766145,,
0.701445,10.1131,-1.14922,-0.0766145,,
0.711466,10.1131,-1.14922,-0.0957681,,
0.721487,10.094,-1.14922,-0.0574608,,
0.731507,10.1131,-1.16837,-0.0383072,,
0.741528,10.1323,-1.14922,-0.0574608,,
0.751548,10.1131,-1.14922,-0.0574608,,
0.761569,10.094,-1.14922,-0.0383072,,
0.77159,10.094,-1.14922,-0.0191536,,
0.78161,10.094,-1.13006,-0.0191536,,
0.791631,10.094,-1.14922,-0.0574608,,
0.801652,10.094,-1.13006,-0.0383072,,
0.811672,10.094,-1.14922,-0.0574608,,
0.821693,10.1131,-1.11091,-0.0383072,,
0.831714,10.094,-1.14922,-0.0191536,,
0.841734,10.094,-1.14922,0,,
0.851755,10.0748,-1.14922,-0.0574608,,
0.861776,10.0748,-1.14922,-0.0574608,,
0.871796,10.094,-1.13006,-0.0191536,,
0.881817,10.0556,-1.14922,-0.0574608,,
0.891838,10.0748,-1.14922,-0.0383072,,
0.901858,10.094,-1.14922,-0.0383072,,
0.911879,10.1131,-1.14922,-0.0574608,,
0.921899,10.094,-1.13006,-0.0766145,,
0.93192,10.0748,-1.13006,-0.0766145,,
0.941941,10.094,-1.13006,-0.0766145,,
0.951961,10.0748,-1.13006,-0.0766145,,
0.961982,10.094,-1.14922,-0.0766145,,
0.972003,10.1323,-1.16837,-0.0574608,,
0.982023,10.1131,-1.14922,-0.0766145,,
0.992044,10.094,-1.16837,-0.0957681,,
1.00206,10.094,-1.16837,-0.114922,,
1.01209,10.1323,-1.13006,-0.114922,,
1.02211,10.1131,-1.14922,-0.0957681,,
1.03213,10.1131,-1.14922,-0.0957681,,
1.04215,10.1131,-1.14922,-0.114922,,
1.05217,10.094,-1.14922,-0.114922,,
1.06219,10.094,-1.14922,-0.134075,,
1.07221,10.1131,-1.14922,-0.114922,,
1.08223,10.1131,-1.14922,-0.134075,,
1.09225,10.094,-1.14922,-0.134075,,
1.10227,10.1131,-1.16837,-0.153229,,
1.11229,10.1131,-1.14922,-0.134075,,
1.12231,10.1131,-1.13006,-0.134075,,
1.13233,10.094,-1.13006,-0.153229,,
1.14235,10.1131,-1.14922,-0.153229,,
1.15237,10.094,-1.13006,-0.172383,,
1.16239,10.0748,-1.14922,-0.172383,,
1.17242,10.0748,-1.13006,-0.172383,,
1.18244,10.0556,-1.13006,-0.134075,,
1.19246,10.094,-1.14922,-0.153229,,
1.20248,10.1131,-1.14922,-0.153229,,
1.2125,10.094,-1.13006,-0.191536,,
1.22252,10.094,-1.13006,-0.153229,,
1.23254,10.0748,-1.13006,-0.191536,,
1.24256,10.0748,-1.14922,-0.172383,,
1.25258,10.1131,-1.13006,-0.172383,,
1.2626,10.1323,-1.13006,-0.153229,,
1.27262,10.094,-1.16837,-0.172383,,
1.28264,10.094,-1.14922,-0.153229,,
1.29266,10.1131,-1.14922,-0.172383,,
1.30268,10.094,-1.13006,-0.153229,,
1.3127,10.094,-1.13006,-0.153229,,
1.32273,10.1131,-1.14922,-0.153229,,
1.33275,10.1131,-1.13006,-0.172383,,
1.34277,10.094,-1.14922,-0.153229,,
1.35279,10.1131,-1.14922,-0.153229,,
1.36281,10.1131,-1.14922,-0.134075,,
1.37283,10.1131,-1.14922,-0.153229,,
1.38285,10.094,-1.13006,-0.134075,,
1.39287,10.0748,-1.14922,-0.134075,,
1.40289,10.1131,-1.14922,-0.153229,,
1.41291,10.1131,-1.14922,-0.0957681,,
1.42293,10.1131,-1.11091,-0.153229,,
1.43295,10.0748,-1.13006,-0.134075,,
1.44297,10.094,-1.13006,-0.114922,,
1.45299,10.094,-1.13006,-0.114922,,
1.46301,10.1131,-1.13006,-0.0766145,,
1.47304,10.1131,-1.16837,-0.0957681,,
1.48306,10.094,-1.14922,-0.114922,,
1.49308,10.094,-1.11091,-0.114922,,
1.5031,10.0748,-1.14922,-0.0766145,,
1.51312,10.0748,-1.14922,-0.0766145,,
1.52314,10.094,-1.13006,-0.0766145,,
1.53316,10.094,-1.13006,-0.0766145,,
1.54318,10.094,-1.13006,-0.0574608,,
1.5532,10.094,-1.14922,-0.0766145,,
1.56322,10.0748,-1.14922,-0.0766145,,
1.57324,10.0748,-1.11091,-0.0574608,,
1.58326,10.1131,-1.14922,-0.0766145,,
1.59328,10.094,-1.14922,-0.0383072,,
1.6033,10.1131,-1.13006,-0.0383072,,
1.61332,10.1131,-1.14922,-0.0574608,,
1.62334,10.094,-1.13006,-0.0574608,,
1.63337,10.1131,-1.13006,-0.0574608,,
1.64339,10.1131,-1.13006,-0.0766145,,
1.65341,10.1131,-1.14922,-0.0766145,,
1.66343,10.1131,-1.13006,-0.0574608,,
1.67345,10.1131,-1.13006,-0.0574608,,
1.68347,10.094,-1.13006,-0.0574608,,
1.69349,10.094,-1.14922,-0.0383072,,
1.70351,10.1131,-1.14922,-0.0574608,,
1.71353,10.1131,-1.14922,-0.0766145,,
1.72355,10.1131,-1.13006,-0.0383072,,
1.73357,10.1131,-1.14922,-0.0574608,,
1.74359,10.1323,-1.16837,-0.0766145,,
1.75361,10.094,-1.11091,-0.0766145,,
1.76363,10.1131,-1.14922,-0.0957681,,
1.77365,10.1131,-1.16837,-0.0957681,,
1.78368,10.094,-1.14922,-0.0766145,,
1.7937,10.094,-1.14922,-0.114922,,
1.80372,10.094,-1.14922,-0.114922,,
1.81374,10.094,-1.13006,-0.114922,,
1.82376,10.094,-1.14922,-0.114922,,
1.83378,10.094,-1.14922,-0.134075,,
1.8438,10.094,-1.16837,-0.0957681,,
1.85382,10.094,-1.14922,-0.153229,,
1.86384,10.094,-1.11091,-0.0957681,,
1.87386,10.094,-1.14922,-0.114922,,
1.88388,10.1131,-1.13006,-0.0957681,,
1.8939,10.094,-1.14922,-0.134075,,
1.90392,10.094,-1.13006,-0.153229,,
1.91394,10.0748,-1.14922,-0.134075,,
1.92396,10.094,-1.14922,-0.172383,,
1.93398,10.1131,-1.13006,-0.134075,,
1.94401,10.1131,-1.13006,-0.172383,,
1.95403,10.1131,-1.14922,-0.172383,,
1.96405,10.094,-1.14922,-0.153229,,
1.97407,10.1131,-1.13006,-0.153229,,
1.98409,10.094,-1.13006,-0.172383,,
1.99411,10.094,-1.13006,-0.191536,,
2.00413,10.094,-1.14922,-0.153229,,
2.01415,10.1131,-1.14922,-0.172383,,
2.02417,10.1131,-1.14922,-0.172383,,
2.03419,10.1131,-1.14922,-0.153229,,
2.04421,10.094,-1.14922,-0.191536,,
2.05423,10.094,-1.14922,-0.172383,,
2.06425,10.094,-1.16837,-0.134075,,
2.07427,10.094,-1.13006,-0.153229,,
2.08429,10.1131,-1.14922,-0.191536,,
2.09432,10.0748,-1.16837,-0.191536,,
2.10434,10.0748,-1.13006,-0.172383,,
2.11436,10.1131,-1.13006,-0.153229,,
2.12438,10.0748,-1.13006,-0.172383,,
2.1344,10.094,-1.13006,-0.172383,,
2.14442,10.0748,-1.13006,-0.134075,,
2.15444,10.094,-1.14922,-0.134075,,
2.16446,10.1131,-1.14922,-0.172383,,
2.17448,10.094,-1.14922,-0.114922,,
2.1845,10.094,-1.14922,-0.153229,,
2.19452,10.094,-1.13006,-0.114922,,
2.20454,10.1131,-1.14922,-0.114922,,
2.21456,10.094,-1.16837,-0.114922,,
2.22458,10.094,-1.13006,-0.114922,,
2.2346,10.0748,-1.13006,-0.114922,,
2.24462,10.094,-1.14922,-0.114922,,
2.25465,10.094,-1.14922,-0.114922,,
2.26467,10.1323,-1.13006,-0.0766145,,
2.27469,10.094,-1.14922,-0.0957681,,
2.28471,10.094,-1.14922,-0.0574608,,
2.29473,10.1131,-1.14922,-0.0957681,,
2.30475,10.1131,-1.14922,-0.0574608,,
2.31477,10.094,-1.14922,-0.0766145,,
2.32479,10.094,-1.13006,-0.0766145,,
2.33481,10.094,-1.11091,-0.0766145,,
2.34483,10.1131,-1.14922,-0.0766145,,
2.35485,10.094,-1.14922,-0.0383072,,
2.36487,10.094,-1.14922,-0.0574608,,
2.37489,10.1131,-1.14922,-0.0383072,,
2.38491,10.094,-1.13006,-0.0574608,,
2.39493,10.0748,-1.14922,-0.0383072,,
2.40496,10.1131,-1.14922,-0.0574608,,
2.41498,10.094,-1.14922,-0.0574608,,
2.425,10.094,-1.14922,-0.0574608,,
2.43502,10.094,-1.14922,-0.0383072,,
2.44504,10.0748,-1.14922,-0.0383072,,
2.45506,10.0748,-1.13006,-0.0574608,,
